id,title,description,published_At,tags,category_id,default_language,default_audio_language,thumbnail_default,thumbnail_high,duration,view_count,like_count,comment_count,privacy_status,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscription,channel_video_count
aTUiGWJinX0,Dark Skin & Getting Married | Stand Up Comedy by Saikiran,"""These are some my of thoughts. If they make you laugh, please share and subscribe as I have more such jokes. "" 

DISCLAIMER : This video is for entertainment purposes only and not intended to cause any offence to any individual, community or legal entity.

Written & Performed by Saikiran - A Comedian from Hyderabad known for his Clean Comedy. He writes and performs comedy in English & Telugu.


For Enquiries & Live Show Tickets 
Contact on
https://www.facebook.com/JestSaikiran/
https://www.instagram.com/jestsaikiran/

Venue Courtesy: The Habitat, Mumbai
Directed by Anuj Mehta
Edited by Anuj Mehta & Ishaan Doshi
Shot by Anuj Mehta, Santosh Kardak and The Habitat Videography Team: Dishang Popat, Vivian Castelino, Harsh Shah & Vriddhi Sawlani 
Sound Recording by The Habitat Audio Team: Sreejith Menon, Swarada Bodas, Seigen Moopanar  
Sound Mixing & Mastering by Varun Patil
Special Thanks to Aakash Mehta & Counter Culture and Funny Side Up

#CleanComedy #Hyderabad #PureVegJokes",2019-02-11T10:17:36Z,"#StandupComedy,#CleanComedy,#TeluguComedy,#Telugu,#saikiran,#CorporateComedian,#TeluguStandupComedy,#SouthIndianComedy,#TamilStandupComedy,#IndianEnglishComedy,#HyderabadStandupComedian",23,en,en,https://i.ytimg.com/vi/aTUiGWJinX0/default.jpg,https://i.ytimg.com/vi/aTUiGWJinX0/hqdefault.jpg,PT10M33S,21709374,792439,22729,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
-J8sqiu1-kE,Roast of YouTube Creator Award | Saikiran | Vlog,"Tickets for Live Zoom Show http://bit.ly/zoomrnj4
For live shows and videos follow me on Instagram http://www.instagram.com/jestsaikiran 

Thank you for subscribing to my channel, got the YouTube Creator Award with just video. Appreciate your support.

Entire year have been touring India with my show Pure Veg Jokes, just few more cities left. Hope to  release the entire show soon, if the recording comes out right.

Note: This video Optimized for Mobile Viewing.

#Saikiran #Roast #SilverPlayButton",2019-12-23T07:16:08Z,"#IndianEnglish,#verticalvideo,#creatoraward,#indianstandupomedy,#youtubeaward,#vlog,#cleancomedy,#roast,#awardroast,#roastcomedy",23,en,te,https://i.ytimg.com/vi/-J8sqiu1-kE/default.jpg,https://i.ytimg.com/vi/-J8sqiu1-kE/hqdefault.jpg,PT5M9S,771013,36117,1150,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
RdBs-2wUGsw,WordRoast of Soulmate | Sit Down Comedy by Saikiran,"A weekly comedy video series analyzing Words
The word for this episode is Soulmate
If you have any interesting words that deserve a video, do drop them in the comments.

Tickets for Saikiran - Rolling New Jokes (Stand Up Comedy Live on Zoom) - http://bit.ly/zoomrnj4
Follow me on Instagram for updates http://www.instagram.com/jestsaikiran


#Saikiran #Mlog #VegRoast",2020-12-23T06:39:14Z,"vocabulary,indianmatchmaking,indianmarriage,indianenglish,indiancomedy,sitdowncomedy,cleancomedy,valentinesday,sai kiran,relationships",23,en,en-IN,https://i.ytimg.com/vi/RdBs-2wUGsw/default.jpg,https://i.ytimg.com/vi/RdBs-2wUGsw/hqdefault.jpg,PT5M32S,247196,16364,875,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
yk7xxKBE_Uk,WordRoast of Fudgel | Sit Down Comedy by Saikiran,"A weekly comedy video series analyzing Words
The word for this episode is Fudgel
If you have any interesting words that deserve a video, do drop them in the comments.

Tickets for Saikiran - Rolling New Jokes (Stand Up Comedy Live on Zoom) - http://bit.ly/zoomrnj4
Follow me on Instagram for updates http://www.instagram.com/jestsaikiran

#Saikiran #Mlog #VegRoast",2020-12-30T06:13:21Z,"vocabulary,hrmanager,corporatecomedy,officehumour,sai kiran,indianenglish,indiancomedy,standupcomedy,sitdowncomedy,cleancomedy",23,en,en-IN,https://i.ytimg.com/vi/yk7xxKBE_Uk/default.jpg,https://i.ytimg.com/vi/yk7xxKBE_Uk/hqdefault.jpg,PT4M21S,76396,5464,282,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
GazttshOwBE,WordRoast of OMBRIFUGE | Sit Down Comedy by Saikiran,"A weekly comedy video series analyzing Words with satire.
The word for this episode is Ombrifuge which means something that provides shelter from rain.
If you have any interesting words that deserve a video, do drop them in the comments.

Tickets for Saikiran - Rolling New Jokes (Stand Up Comedy Live on Zoom) - http://bit.ly/zoomrnj4
Follow me on Instagram for updates http://www.instagram.com/jestsaikiran

#Saikiran #Mlog #VegRoast",2021-01-06T05:49:11Z,"vocabulary,shashi tharoor,indian comedy,standup comedy,indian english,sai kiran,clean comedy,english comedy in india,fun way to learn vocabulary,sai karan,learning english words with meaning,easy way to learn english,what to do in rainy days",23,en,en-IN,https://i.ytimg.com/vi/GazttshOwBE/default.jpg,https://i.ytimg.com/vi/GazttshOwBE/hqdefault.jpg,PT5M32S,53292,3942,182,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
xtaYPEKuBfM,Why the world needs Bad Actors | Word Roast of Cabotin | Sit Down Comedy by Saikiran,"Word Roast weekly comedy video series analyzing Vocabulary with satire.
The word for this episode is Cabotin which means a Bad Actor. 
Do watch this video, If you ever saw bad acting in a movie and wondered why does this exist, this video will explain why the world needs Bad Actors. Celebrate the Cabotin while they last. 
If you have any interesting words that deserve a video, do drop them in the comments.

Click for tickets to Saikiran Live on Zoom exclusively for US & Canada - http://bit.ly/liveonzoom
Follow me on Instagram for updates http://www.instagram.com/jestsaikiran

#Saikiran #CleanComedy #VegRoast",2021-01-13T05:59:58Z,"so bad its good,indian comedy,bad acting reaction,worst actor to work with,worst actor to watch,shashi tharoor english vocabulary,indian english accent funny,south indian english accent,improving vocabulary in english,indian satire video,bollywood worst acting,stand up comedy without abuse,stand up comedy without cursing,sit down comedy video,standÂ upÂ comedyÂ withoutÂ audience,indian english comedy,indian english comedy shows,deadpan comedy,deadpan humor",23,en,en-IN,https://i.ytimg.com/vi/xtaYPEKuBfM/default.jpg,https://i.ytimg.com/vi/xtaYPEKuBfM/hqdefault.jpg,PT5M7S,70095,4205,218,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
-sIfG3hUNxQ,Reading Books in Bed | Word Roast of Librocubicularist | Sit Down Comedy by Saikiran,"Word Roast is a weekly sit down comedy video series analyzing Vocabulary with satire by Saikiran.
The word for this episode is Librocubicularist which means a person who reads books in bed.
Watch the video to understand this very modern phenomenon of reading a book in bed and how it took centuries of civilization to give us this great pleasure.

Tickets for Saikiran - Rolling New Jokes (Stand Up Comedy Live on Zoom) - http://bit.ly/zoomrnj4
Follow me on Instagram for short videos http://www.instagram.com/jestsaikiran

#Saikiran #CleanComedy #Vocabulary",2021-01-20T06:06:44Z,"reading books,stand up comedy indian english,learning english words with meaning,sit down comedy,reading in bed,sai kiran stand up comedy,indian booktuber,book reading vlog,english words with meaning,best comedy roast video,comedy without cursing,stand up comedy without cursing,clean comedy indian,stand up comedy without abuse,stand up comedy without audience,stand up lecture,indian english comedy,american english comedy,indian booktubers channel",23,en,en-IN,https://i.ytimg.com/vi/-sIfG3hUNxQ/default.jpg,https://i.ytimg.com/vi/-sIfG3hUNxQ/hqdefault.jpg,PT5M56S,60726,4359,213,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
qtoS0BcNkpU,We truly Value Leftovers | Word Roast of Tittynope | Sit Down Comedy by Saikiran,"If you never discard the leftovers then you will love this word Tittynope.

This the final episode of the first season of Word Roast, a weekly sit down comedy video series analyzing Vocabulary with satire by Saikiran.

Tickets for Saikiran - Rolling New Jokes (Stand Up Comedy Live on Zoom) - http://bit.ly/zoomrnj4

For short videos follow me on Instagram at http://www.instagram.com/jestsaikiran

#Saikiran #CleanComedy #Vocabulary",2021-01-27T06:23:36Z,"recipes for leftovers in fridge,indian comedy stand up,sit down comedy video,sai kiran standup comedy,sai karan standup comedy,no wastage of food,shashi tharoor english vocabulary,learning english words,new english words with meaning,indian english funny accent,laugh and learn games,how to improve vocabulary,standup comedy without cursing,clean stand up comedy,dry bar comedy,clean stand up comedy india",23,en,en-IN,https://i.ytimg.com/vi/qtoS0BcNkpU/default.jpg,https://i.ytimg.com/vi/qtoS0BcNkpU/hqdefault.jpg,PT5M26S,67551,5784,247,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
EqBKcoruihw,Best Way to Study Better | fActually Funny | Sit Down Comedy by Saikiran,"This episode of fActually Funny gives a satirical take on research that says, looking at trees helps students learn better.

Sit Down Comedy is just me talking into the camera or mostly me talking to myself, being caught on camera. Unlike Standup Comedy it has no audience, no laughs but has jokes, some, a few, at least one or two, well I will let you decide.

You can watch my Standup Comedy Live on Zoom. For tickets click http://bit.ly/zoomrnj4

#Saikiran #SitDownComedy #fActuallyFunny",2021-02-03T05:46:07Z,"stand up comedy without cursing,sai kiran,indian english comedy shows,south indian comedy,sit down comedy,indian english speaking,how to study effectively,how to remember what you studied,student comedy videos,not the 9 oclock news,indian english standup comedy,serious comedy,deadpan comedy,south asian comedy,tanglish comedy,malayalam standup comedy,naveen richard stand up comedy,indian satire news,sai karan,clean stand up comedy india",23,en,en-IN,https://i.ytimg.com/vi/EqBKcoruihw/default.jpg,https://i.ytimg.com/vi/EqBKcoruihw/hqdefault.jpg,PT5M18S,183271,11434,397,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
fZ5cQLAxgwI,Caught Making a Blank Call | Storytelling | Sit Down Comedy by Saikiran,"An attempt at Storytelling about a time when I was caught making a Blank Call to a girl.

You can watch my Standup Comedy Live on Zoom. For tickets click http://bit.ly/zoomrnj4 

#Saikiranâ€‹ #ValentinesDay #90sKid",2021-02-10T05:55:17Z,"valentines day love stories,valentines day,indian love stories,90s kids,saikiran stand up comedy,indian storytelling,indian english accent,south indian english accent,sit down comedy videos,valentines day special,happy valentines day indian funny,indian english funny accent,storytelling shows,south indian storytelling,sai kiran,life in the 90s vs today,stand up comedy without cursing,south indian comedy,tanglish comedy,indian storytellers",23,en,en-IN,https://i.ytimg.com/vi/fZ5cQLAxgwI/default.jpg,https://i.ytimg.com/vi/fZ5cQLAxgwI/hqdefault.jpg,PT5M43S,118543,5270,338,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
gYVbew2AMjw,Best Before Dates | fActually Funny | Sit Down Comedy by Saikiran,"Do you get confused about Best Before Dates on Groceries? Do watch my Sit Down Comedy about it.

You can watch my Standup Comedy Live on Zoom. For tickets click http://bit.ly/zoomrnj4 â€‹  

#Saikiran #fActuallyFunny #CleanComedy",2021-02-17T05:48:39Z,"sai kiran comedy,indian standup comedy,sit down comedy,best before dates on food,food wastage,grocery shopping vlog,freeganism,indian english funny accent,indian english standup comedy,al capone legend,grocery hoarding,indian infotainment,intelligent comedy scenes,deadpan comedy,deadpan humor,clean comedy stand up,clean stand up comedy indian,saikiran comedy,tanglish comedy,malayalam english spoken english,sri lanka english,kirana shop business",23,en,en-IN,https://i.ytimg.com/vi/gYVbew2AMjw/default.jpg,https://i.ytimg.com/vi/gYVbew2AMjw/hqdefault.jpg,PT9M10S,233988,9898,384,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
v-x8P-iZiEM,Family Shopping | Sit Down Comedy by Saikiran,"Do watch my comic take on the challenges when shopping with your family.
Use code CromaTGIFSai to avail an additional 5% discount of upto â‚¹1000.

#Saikiran #SitDownComedy #CromaTGIF",2022-02-23T07:15:06Z,"sit down comedy,english comedy,indian accent,indian english,indian satire,indian comedy,saikiran comedy,shopping fail,online shopping problems and solutions,family shopping vlog,shopping with family,indian family,desi lifestyle",23,en-IN,en-IN,https://i.ytimg.com/vi/v-x8P-iZiEM/default.jpg,https://i.ytimg.com/vi/v-x8P-iZiEM/hqdefault.jpg,PT5M59S,273731,8870,296,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
rCQ8huGhHgc,Chartered Accountant #standupcomedy #shorts,,2022-12-06T06:12:00Z,"Shorts,Standup comedy,Chartered Accountant",23,en,en-IN,https://i.ytimg.com/vi/rCQ8huGhHgc/default.jpg,https://i.ytimg.com/vi/rCQ8huGhHgc/hqdefault.jpg,PT36S,1547612,63512,204,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
eBcVWjv4j1g,Eating Rice #comedy #shorts,Adding some of the best of my Instagram monologue reels. Watch & Enjoy,2022-12-09T06:27:56Z,"Comedy,Shorts",23,en,en-IN,https://i.ytimg.com/vi/eBcVWjv4j1g/default.jpg,https://i.ytimg.com/vi/eBcVWjv4j1g/hqdefault.jpg,PT49S,1982305,104208,1939,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
c9KH-CehIH4,Balcony Grills #comedy #shorts,,2022-12-25T06:50:21Z,,23,en,en-IN,https://i.ytimg.com/vi/c9KH-CehIH4/default.jpg,https://i.ytimg.com/vi/c9KH-CehIH4/hqdefault.jpg,PT1M1S,1253990,46296,518,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
eJrkIrStkFQ,Afternoon Nap #comedy #shorts,,2023-01-09T08:04:45Z,"Comedy,Shorts,Standup Comedy",23,en,en-IN,https://i.ytimg.com/vi/eJrkIrStkFQ/default.jpg,https://i.ytimg.com/vi/eJrkIrStkFQ/hqdefault.jpg,PT59S,339545,26858,376,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
tNzX0uDhDo4,Memorial Photo #comedy #shorts,,2023-01-16T05:58:53Z,"Comedy,Comedy Shorts",23,en,en-IN,https://i.ytimg.com/vi/tNzX0uDhDo4/default.jpg,https://i.ytimg.com/vi/tNzX0uDhDo4/hqdefault.jpg,PT55S,525930,26907,346,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
uZXMk2QPYWE,Tragic Lights #Comedy #Shorts,,2023-01-24T05:40:25Z,"Comedy,Shorts,Traffic",23,en,en-IN,https://i.ytimg.com/vi/uZXMk2QPYWE/default.jpg,https://i.ytimg.com/vi/uZXMk2QPYWE/hqdefault.jpg,PT58S,290475,16466,217,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
JLuYXe4EoZA,Ceiling Fan #Comedy #Shorts,,2023-01-31T08:07:37Z,"Comedy,Shorts,Monologue",23,en,en-IN,https://i.ytimg.com/vi/JLuYXe4EoZA/default.jpg,https://i.ytimg.com/vi/JLuYXe4EoZA/hqdefault.jpg,PT53S,919123,51615,930,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
BcovNlzNeLg,Romantic Phone Calls #Comedy #Shorts #Valentinesday,,2023-02-06T04:59:43Z,"Comedy,Shorts,Valentines Day,Valentines Week,Monologue,Rant",23,en,en-IN,https://i.ytimg.com/vi/BcovNlzNeLg/default.jpg,https://i.ytimg.com/vi/BcovNlzNeLg/hqdefault.jpg,PT58S,164561,11248,185,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s800-c-k-c0x00ffffff-no-rj,478000,97
